Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-March-2023,228.55,231.20,226.90,228.30,228.905390491905154771,93331,1606,21363969.00,40246,43.12,4.30,-0.25
10-March-2023,224.75,231.35,223.90,229.65,228.265766724041232328,155121,2667,35408814.00,66326,42.76,7.45,4.90
9-March-2023,223.70,227.50,223.70,226.90,226.460349986833600651,208865,4199,47299641.00,135095,64.68,3.80,3.20
8-March-2023,219.85,224.40,219.80,223.70,222.776071257227987778,158412,2366,35290403.00,79512,50.19,4.60,3.85
6-March-2023,219.20,222.55,219.05,220.40,220.802482979037694549,148934,2598,32884997.00,60856,40.86,3.50,1.20
3-March-2023,218.35,220.10,216.80,219.15,218.620908139708691102,120422,2162,26326767.00,34914,28.99,3.30,0.80
2-March-2023,215.25,219.25,214.10,218.15,217.531653399939307640,85678,1114,18637677.00,50577,59.03,5.15,2.90
1-March-2023,215.25,217.15,214.50,215.15,215.967502124044180118,131824,1236,28469700.00,104099,78.97,2.65,-0.10
28-February-2023,214.20,216.45,212.55,215.15,214.122154419556400043,273670,6744,58598810.00,211884,77.42,3.90,0.95
27-February-2023,217.15,217.60,211.70,214.45,213.496025147444298820,976640,6159,208508758.00,801044,82.02,5.90,-2.70
24-February-2023,222.90,223.45,216.65,217.00,219.382640954513552354,119684,3298,26256592.00,55158,46.09,6.80,-5.90
23-February-2023,223.00,225.10,221.45,222.20,223.359700985389058783,117720,2072,26293904.00,28670,24.35,3.65,-0.80
22-February-2023,225.00,225.50,220.40,223.85,223.107501945964694352,247949,4093,55319282.00,95079,38.35,5.10,-1.15
21-February-2023,230.05,234.45,225.30,227.40,230.150256128966280226,107563,3027,24755652.00,30318,28.19,9.15,-2.65
20-February-2023,232.10,234.90,229.90,232.35,232.005443289039281663,157809,1728,36612547.00,74027,46.91,5.00,0.25
17-February-2023,231.50,236.65,230.85,234.00,234.701540431989196789,143661,2251,33717458.00,56959,39.65,5.80,2.50
16-February-2023,235.00,235.05,230.10,231.40,232.148679678530424799,76648,1895,17793732.00,23964,31.26,4.95,-3.60
15-February-2023,231.40,235.55,231.40,235.20,234.037902388369678089,80892,1593,18931794.00,24876,30.75,4.15,3.80
14-February-2023,228.50,234.25,227.90,233.80,231.825254708243284964,194340,2320,45052920.00,146806,75.54,6.35,5.30
13-February-2023,231.20,234.70,230.10,231.00,232.406195933628267205,172242,1157,40030108.00,38994,22.64,4.60,-0.20
10-February-2023,235.15,235.95,230.05,232.75,232.949728143322042019,300526,5441,70007450.00,148971,49.57,5.90,-2.40
9-February-2023,230.10,233.60,229.30,232.10,231.894075608032303183,202333,3751,46919824.00,110075,54.40,4.30,2.00
8-February-2023,232.20,233.20,228.00,231.85,229.708265491811129202,292348,2659,67154752.00,59688,20.42,5.20,-0.35
7-February-2023,230.20,232.25,229.55,231.65,231.009843333639621427,87064,1622,20112641.00,17116,19.66,2.70,1.45
6-February-2023,227.60,232.75,225.65,232.00,229.086254982537978354,162066,2729,37127093.00,34176,21.09,7.10,4.40
3-February-2023,230.15,232.15,222.20,227.60,225.124718249252079832,97604,1978,21973073.00,31059,31.82,9.95,-2.55
2-February-2023,231.25,235.50,226.50,230.05,230.755758339010811294,435933,8563,100594050.00,283642,65.07,9.00,-1.20
1-February-2023,238.00,240.40,230.20,235.75,236.596161368884626547,396235,8496,93747680.00,177220,44.73,10.20,-2.25
31-January-2023,235.35,240.15,235.20,237.90,237.928632857950965558,217439,3033,51734964.00,69925,32.16,4.95,2.55
30-January-2023,232.45,236.65,231.10,234.40,233.426687023586335417,534462,9372,124757694.00,390025,72.98,5.55,1.95
27-January-2023,246.35,249.00,228.40,234.35,234.165590423657805056,337749,7686,79089194.00,79649,23.58,20.60,-12.00
25-January-2023,248.10,249.75,246.20,248.25,248.727866688076504487,280245,5092,69704741.00,205183,73.22,3.55,0.15
24-January-2023,250.40,252.65,247.80,249.25,249.752879257337752798,333072,1343,83185691.00,272614,81.85,4.85,-1.15
23-January-2023,247.00,251.00,244.55,250.35,248.966319259070123720,129243,2723,32177154.00,84946,65.73,6.45,3.35
20-January-2023,244.80,248.00,243.50,246.25,246.268307905942660033,541542,2900,133364632.00,120269,22.21,4.50,1.45
19-January-2023,243.25,248.50,242.25,245.80,245.072016821447345365,45656,1114,11189008.00,11531,25.26,6.25,2.55
18-January-2023,243.10,245.15,241.70,243.15,242.949246471867054791,407085,1028,98900994.00,356831,87.66,3.45,0.05
17-January-2023,248.05,249.50,242.05,243.30,245.314449985981622104,253239,2904,62123186.00,60611,23.93,7.45,-4.75
16-January-2023,251.25,251.55,246.45,247.25,248.065938469042890491,57402,1855,14239481.00,16302,28.40,5.10,-4.00
13-January-2023,248.95,252.70,246.30,251.20,248.818450178753631541,641945,3587,159727760.00,106276,16.56,6.40,2.25
12-January-2023,257.30,257.30,247.95,249.75,250.859872396163434317,118335,2873,29685503.00,22141,18.71,9.35,-7.55
11-January-2023,250.00,260.90,247.85,256.35,256.454327248973957627,649096,9778,166463478.00,291463,44.90,13.05,6.35
10-January-2023,246.00,250.00,243.10,249.25,246.709255686048101611,131638,2343,32476313.00,65668,49.89,6.90,3.25
9-January-2023,249.40,250.80,244.80,245.05,247.875291189790632731,69113,1428,17131405.00,17987,26.03,6.00,-4.35
6-January-2023,244.75,251.00,244.65,249.50,248.921312032630863358,158868,2511,39545631.00,74862,47.12,6.35,4.75
5-January-2023,243.05,248.80,241.55,245.85,244.934837627687147431,196770,3949,48195828.00,85744,43.58,7.25,2.80
4-January-2023,237.45,244.00,237.30,241.00,240.623338257016248153,150294,2915,36164244.00,35408,23.56,6.70,3.55
