Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-March-2023,327.95,327.95,321.30,322.55,324.106823110715675916,71932,2145,23313652.00,,,6.65,-5.40
10-March-2023,323.10,327.80,320.55,325.85,325.108768626166693957,97712,3075,31767028.00,46906,48.00,7.25,2.75
9-March-2023,326.95,326.95,323.70,324.90,324.938348069683970935,45692,1003,14847083.00,15886,34.77,3.25,-2.05
8-March-2023,320.05,327.30,320.05,325.70,325.244884448317559397,148029,3094,48145675.00,61559,41.59,7.25,5.65
6-March-2023,321.25,326.30,321.20,324.65,324.011412447881895020,79387,1422,25722294.00,23963,30.18,5.10,3.40
3-March-2023,322.90,323.80,320.30,321.15,321.335459490159243321,45779,1581,14710416.00,17821,38.93,3.50,-1.75
2-March-2023,315.90,321.70,314.60,321.00,319.228168672752241699,74274,2102,23710353.00,26411,35.56,7.10,5.10
1-March-2023,317.00,321.00,315.50,315.90,317.338954059660572828,82433,1773,26159202.00,49857,60.48,5.50,-1.10
28-February-2023,317.00,321.40,314.10,316.80,317.312075787306591179,62174,2528,19728561.00,19150,30.80,7.30,-0.20
27-February-2023,317.60,321.25,314.90,320.15,317.890316985723346147,77259,2130,24559888.00,28999,37.53,6.35,2.55
24-February-2023,319.05,322.20,316.60,317.50,318.106595922926556827,89525,3681,28478493.00,40298,45.01,5.60,-1.55
23-February-2023,320.60,323.55,318.00,320.70,321.475416098226466575,73300,2982,23564148.00,20589,28.09,5.55,0.10
22-February-2023,323.25,323.25,316.25,320.45,318.732941157866438951,126474,5133,40311430.00,37773,29.87,7.00,-2.80
21-February-2023,326.00,328.65,322.15,323.25,326.484266083986027974,64987,1858,21217233.00,23043,35.46,6.50,-2.75
20-February-2023,331.70,333.40,325.70,326.00,328.436871969204619307,80012,2807,26278891.00,39726,49.65,7.70,-5.70
17-February-2023,325.70,333.00,325.70,331.70,329.959175399584751280,81397,2160,26857687.00,31257,38.40,7.30,6.00
16-February-2023,331.00,332.65,323.90,325.60,327.058190344239582223,178277,4694,58306953.00,77345,43.38,8.75,-5.40
15-February-2023,330.05,332.60,328.50,331.20,330.505802581822923458,61352,2328,20277192.00,23155,37.74,4.10,1.15
14-February-2023,330.55,334.50,330.55,331.15,331.924901369227198886,64635,2189,21453966.00,40231,62.24,3.95,0.60
13-February-2023,332.55,337.45,332.30,334.90,334.781830196320849231,46913,1009,15705620.00,20921,44.60,5.15,2.35
10-February-2023,336.05,336.05,331.80,333.80,333.711849345500529751,29259,902,9764075.00,8901,30.42,4.25,-2.25
9-February-2023,332.00,337.55,331.55,333.65,334.302143379794049934,56033,1239,18731952.00,12856,22.94,6.00,1.65
8-February-2023,332.15,335.65,329.00,334.05,332.180910307898259705,112050,2356,37220871.00,52365,46.73,6.65,1.90
7-February-2023,333.75,336.00,331.65,332.15,333.948210089419232764,98301,2977,32827443.00,50422,51.29,4.35,-1.60
6-February-2023,323.55,334.45,323.55,333.75,329.956818527532704593,105184,2053,34706178.00,21269,20.22,10.90,10.20
3-February-2023,332.20,332.60,322.15,326.65,326.204284826168045526,104555,2105,34106289.00,43184,41.30,10.45,-5.55
2-February-2023,331.75,336.05,329.60,331.90,332.759550064772978609,63298,2197,21063014.00,22438,35.45,6.45,0.15
1-February-2023,340.05,344.65,330.10,334.20,337.859986782518255292,184604,6247,62370305.00,50522,27.37,14.55,-5.85
31-January-2023,341.90,351.50,341.65,343.25,345.631266267157721764,174047,4448,60156085.00,58483,33.60,9.85,1.35
30-January-2023,336.10,339.30,332.35,335.05,335.257158733536686292,169164,3968,56713442.00,44601,26.37,6.95,-1.05
27-January-2023,346.00,349.35,331.75,336.70,338.319334465195246179,73625,2589,24908761.00,24956,33.90,17.60,-9.30
25-January-2023,348.95,350.45,345.60,346.60,347.866563314460321739,44508,1650,15482845.00,16564,37.22,4.85,-2.35
24-January-2023,349.30,352.40,347.80,348.90,349.220131192038000452,44210,1551,15439022.00,11229,25.40,4.60,-0.40
23-January-2023,346.45,349.95,345.90,349.50,348.467922524643904240,86634,3528,30189170.00,59114,68.23,4.05,3.05
20-January-2023,347.20,351.00,345.65,346.45,348.787159575631630755,45715,1582,15944805.00,19023,41.61,5.35,-0.75
19-January-2023,345.20,349.90,344.00,349.25,347.972240872363577431,43193,1437,15029965.00,17567,40.67,5.90,4.05
18-January-2023,348.45,349.35,343.00,345.80,345.818632992890949853,52187,1116,18047237.00,21894,41.95,6.35,-2.65
17-January-2023,350.00,351.15,345.30,348.30,347.808406378709473017,47345,1194,16466989.00,12996,27.45,5.85,-1.70
16-January-2023,353.80,353.80,344.00,348.90,346.759081254275119703,83331,1981,28895781.00,20194,24.23,9.80,-4.90
13-January-2023,344.60,351.05,342.10,349.75,348.472982731753050132,78931,2016,27505321.00,33832,42.86,8.95,5.15
12-January-2023,353.80,353.80,343.55,344.95,346.698935401102873424,141086,5361,48914366.00,49999,35.44,10.25,-8.85
11-January-2023,348.00,357.95,346.25,352.65,353.190374311420074536,159386,3667,56293601.00,62569,39.26,11.70,4.65
10-January-2023,347.00,349.00,343.40,346.90,345.856828118400474880,87601,1712,30297404.00,26987,30.81,5.60,-0.10
9-January-2023,347.00,349.20,345.35,346.20,347.625878150662173066,168536,5316,58587475.00,96920,57.51,3.85,-0.80
6-January-2023,340.25,346.50,340.25,344.75,344.058795961543611579,74682,2436,25694999.00,28817,38.59,6.25,4.50
5-January-2023,335.30,342.90,335.30,342.10,340.702249104018932654,234938,5554,80043905.00,146028,62.16,7.60,6.80
4-January-2023,337.00,340.85,334.30,336.50,336.985325001944566880,115707,3555,38991561.00,42812,37.00,6.55,-0.50
3-January-2023,331.30,337.90,331.30,337.25,335.541510192096681966,258828,3493,86847538.00,188396,72.79,6.60,5.95
2-January-2023,330.55,334.55,327.60,333.60,332.683483449909510799,143111,3352,47610666.00,53618,37.47,6.95,3.05
30-December-2022,329.85,332.95,327.55,330.55,330.587146631038775696,65866,1706,21774453.00,20234,30.72,5.40,0.70
29-December-2022,323.00,328.00,320.20,327.05,323.229433631911492298,157636,3936,50952595.00,64619,40.99,7.80,4.05
28-December-2022,326.00,326.15,322.35,324.20,323.916400219945828157,98206,2877,31810534.00,28476,29.00,3.80,-1.80
27-December-2022,328.85,328.85,323.00,326.05,325.517597135658400742,37705,1473,12273641.00,9075,24.07,5.85,-2.80
26-December-2022,320.05,328.40,320.05,324.70,325.958407998961173873,77010,1862,25102057.00,28361,36.83,8.35,4.65
23-December-2022,323.05,328.55,322.15,324.85,324.272020382015522141,271612,7992,88076172.00,163073,60.04,6.40,1.80
22-December-2022,332.05,335.80,324.75,327.95,327.675940065954009251,406647,8736,133248438.00,214953,52.86,11.05,-4.10
21-December-2022,340.05,343.00,332.10,334.15,336.746857797047790714,82108,2641,27649611.00,26983,32.86,10.90,-5.90
20-December-2022,341.10,341.70,334.50,339.90,337.918434244566761091,130263,3633,44018269.00,41937,32.19,7.20,-1.20
19-December-2022,341.05,342.55,335.85,341.35,339.383161688100971802,117102,3947,39742447.00,41148,35.14,6.70,0.30
16-December-2022,349.85,350.95,341.00,341.80,345.843029598283323543,333668,6470,115396752.00,258943,77.60,9.95,-8.05
15-December-2022,348.00,351.35,346.30,348.95,349.418389461811150499,248240,4601,86739621.00,127951,51.54,5.05,0.95
14-December-2022,346.50,350.65,345.90,348.75,348.624529097654602511,139891,2274,48769434.00,43835,31.34,4.75,2.25
13-December-2022,350.00,350.00,345.00,346.10,346.592928179041675771,196781,5386,68202903.00,104241,52.97,5.00,-3.90
12-December-2022,337.05,349.75,334.55,349.00,342.663012765957446808,264375,5833,90591534.00,117059,44.28,15.20,11.95
9-December-2022,338.65,339.95,334.80,338.30,336.749921305741766248,171550,2905,57769449.00,75119,43.79,5.15,-0.35
8-December-2022,337.40,337.40,332.75,335.65,334.745363155608921135,156572,3275,52411751.00,75084,47.95,4.65,-1.75
7-December-2022,330.05,336.85,330.05,334.35,334.895888302550571679,345648,6993,115756094.00,129637,37.51,6.80,4.30
6-December-2022,339.50,340.75,328.20,328.60,333.031630787758876534,232495,7057,77428189.00,93681,40.29,12.55,-10.90
5-December-2022,339.05,341.80,337.50,338.40,339.207728935418768920,63424,1778,21513911.00,26893,42.40,4.30,-0.65
2-December-2022,338.50,343.20,338.45,341.05,340.226184721550847598,119986,2536,40822379.00,45549,37.96,4.75,2.55
1-December-2022,341.05,343.60,337.15,338.45,339.691581024629026884,195095,4986,66272129.00,109570,56.16,6.45,-2.60
30-November-2022,337.10,343.80,335.80,341.20,340.050054161950317060,164322,2863,55877705.00,49241,29.97,8.00,4.10
29-November-2022,341.00,342.35,336.20,338.80,338.426285850315170330,201637,3448,68239261.00,64107,31.79,6.15,-2.20
28-November-2022,326.05,341.40,326.05,340.50,336.337884682909815880,848686,15578,285445254.00,494920,58.32,15.35,14.45
25-November-2022,321.00,326.20,316.50,324.45,323.237689026754556029,139266,2813,45016020.00,40019,28.74,9.70,3.45
24-November-2022,311.05,321.65,311.00,320.90,317.766720238979098063,228974,4166,72760317.00,82216,35.91,10.65,9.85
23-November-2022,305.55,310.60,305.55,310.10,308.966710256700680622,97117,1390,30005920.00,29033,29.89,5.05,4.55
22-November-2022,310.50,311.15,305.75,306.70,307.772106996778513772,110508,1618,34011280.00,40107,36.29,5.40,-3.80
21-November-2022,305.00,310.90,304.50,310.25,308.670846120122753178,159670,2523,49285474.00,43188,27.05,6.40,5.25
18-November-2022,307.50,307.50,302.50,304.00,303.833703941004283973,79599,1664,24184859.00,,,5.00,-3.50
17-November-2022,308.60,308.60,304.60,305.10,305.589105635961727737,61977,1032,18939496.00,17696,28.55,4.00,-3.50
16-November-2022,306.55,309.50,305.80,306.40,307.905968576355623682,83504,1347,25711380.00,36152,43.29,3.70,-0.15
15-November-2022,307.00,309.50,305.65,308.80,307.173344717654502232,162797,2599,50006899.00,42940,26.38,3.85,1.80
14-November-2022,308.05,310.00,307.00,307.75,308.613203007932252787,72741,1505,22448833.00,44353,60.97,3.00,-0.30
11-November-2022,306.25,310.35,305.40,308.50,307.157377904890329175,91957,4232,28245271.00,54059,58.79,4.95,2.25
10-November-2022,304.25,308.00,304.15,305.35,305.825885526624442880,51156,1212,15644829.00,18206,35.59,3.85,1.10
9-November-2022,310.15,311.65,306.05,306.80,307.626317286444621095,137119,2609,42181413.00,48896,35.66,5.60,-3.35
7-November-2022,301.35,310.00,301.35,309.60,307.178579374791411725,323604,6811,99404217.00,212568,65.69,8.65,8.25
4-November-2022,305.00,305.35,298.80,301.60,301.114600511026946704,331098,4374,99698442.00,233791,70.61,6.55,-3.40
3-November-2022,304.65,307.75,303.35,305.10,305.735326884648711736,56549,1227,17289027.00,20638,36.50,4.40,0.45
2-November-2022,304.00,305.85,303.55,305.15,304.923347100297228174,231472,3305,70581217.00,171174,73.95,2.30,1.15
1-November-2022,304.00,305.60,302.35,304.25,303.959961371809044587,78699,1815,23921345.00,25663,32.61,3.25,0.25
31-October-2022,304.00,305.75,301.40,303.60,303.572149667494591779,62405,1901,18944420.00,20875,33.45,4.35,-0.40
28-October-2022,305.55,308.30,302.15,303.25,305.231859250185830794,191034,4681,58309663.00,108052,56.56,6.15,-2.30
27-October-2022,303.30,306.50,302.60,305.60,305.041824640502783755,292770,5504,89307095.00,131773,45.01,3.90,2.30
25-October-2022,300.85,305.00,297.30,302.60,300.962299275690408487,890089,4827,267883232.00,798606,89.72,7.70,1.75
24-October-2022,300.85,301.85,299.80,300.75,301.078165711307972902,28785,821,8666535.00,,,2.05,-0.10
21-October-2022,298.60,300.60,297.30,298.25,298.871631477075464896,180309,4090,53889245.00,83756,46.45,3.30,-0.35
20-October-2022,292.20,299.15,288.20,297.30,293.165345348191678063,295412,7120,86604561.00,107698,36.46,10.95,5.10
19-October-2022,296.10,298.90,291.65,292.20,294.815441212377712304,184299,6652,54334191.00,109046,59.17,7.25,-3.90
18-October-2022,297.05,298.30,294.10,295.80,295.754929465104838388,75211,2033,22244024.00,43631,58.01,4.20,-1.25
17-October-2022,298.75,299.15,291.65,296.85,295.408495003532855556,247675,7001,73165299.00,78400,31.65,7.50,-1.90
14-October-2022,303.00,304.95,297.15,297.95,300.916388800073082720,87572,1873,26351850.00,35290,40.30,7.80,-5.05
13-October-2022,304.95,305.05,299.55,300.20,301.677097329630846097,100473,2626,30310403.00,42415,42.22,5.50,-4.75
