Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,955.05,972.10,952.75,968.65,966.854162867874986324,27421,2334,26512108.00,12652,46.14,19.35,13.60
22-March-2023,957.95,965.45,951.90,961.50,960.450710073914126733,12041,1308,11564787.00,2918,24.23,13.55,3.55
21-March-2023,950.75,957.20,948.35,952.75,952.971559521641473927,32946,4232,31396601.00,11270,34.21,8.85,2.00
20-March-2023,945.25,960.50,944.00,950.75,950.004481308227524666,50878,4595,48334328.00,19402,38.13,16.50,5.50
17-March-2023,968.00,969.60,957.50,963.25,963.278488497097398408,18604,1581,17920833.00,4704,25.28,12.10,-4.75
16-March-2023,964.25,964.95,943.75,958.20,953.609395872137871347,53151,5677,50685293.00,23031,43.33,21.20,-6.05
15-March-2023,976.90,982.85,960.00,963.60,973.175480769230769230,32448,2653,31577598.00,15300,47.15,22.85,-13.30
14-March-2023,969.90,975.00,953.85,966.80,966.899978309202320915,36882,4097,35661205.00,11351,30.78,21.15,-3.10
13-March-2023,984.00,985.95,961.00,964.75,972.481504043692889402,47605,4158,46294982.00,18837,39.57,24.95,-19.25
10-March-2023,988.65,988.65,971.15,980.95,980.141089623622374714,38472,3291,37707988.00,13425,34.90,17.50,-7.70
9-March-2023,1010.40,1015.95,991.00,993.80,1003.399429872146701555,47007,3069,47166797.00,22182,47.19,24.95,-16.60
8-March-2023,1000.05,1016.70,991.70,1010.85,1007.166883527268671697,26899,1680,27091782.00,5728,21.29,25.00,10.80
6-March-2023,1010.00,1012.00,999.65,1001.85,1004.162332079527135948,18610,1594,18687461.00,6359,34.17,12.35,-8.15
3-March-2023,988.90,1012.50,988.90,1007.50,999.853715604916703063,32054,2178,32049311.00,8013,25.00,23.60,18.60
2-March-2023,990.20,998.00,985.00,988.90,988.160018755861206627,31990,2594,31611239.00,12185,38.09,13.00,-1.30
1-March-2023,974.80,999.05,973.40,995.30,987.003447879554074244,17402,1765,17175834.00,6412,36.85,25.65,20.50
28-February-2023,973.00,981.00,965.25,974.80,974.400591912374840958,36154,2904,35228479.00,13895,38.43,15.75,1.80
27-February-2023,973.15,984.30,961.05,975.25,973.376951287417676311,52081,4378,50694445.00,13596,26.11,23.25,2.10
24-February-2023,983.95,984.70,968.30,973.15,976.111433502588859151,39979,2673,39023959.00,9419,23.56,16.40,-10.80
23-February-2023,965.15,989.50,962.30,973.30,977.394140960616390898,36081,2364,35265358.00,5017,13.90,27.20,8.15
22-February-2023,997.15,1003.05,959.70,965.05,971.639882885163619552,90851,7205,88274455.00,27098,29.83,43.35,-32.10
21-February-2023,1018.90,1018.90,998.15,1000.30,1007.969108363527697882,26771,1735,26984341.00,7411,27.68,20.75,-18.60
20-February-2023,1020.00,1025.00,1005.00,1010.70,1013.261146755461707138,24626,1646,24952569.00,5257,21.35,20.00,-9.30
17-February-2023,1025.00,1033.55,1015.80,1018.60,1025.275237057541669120,67916,3839,69632593.00,18214,26.82,17.75,-6.40
