Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-March-2023,78.50,78.92,77.66,77.79,78.403798501575488948,1096485,6224,85968589.00,524113,47.80,1.26,-0.71
10-March-2023,78.59,79.24,77.55,78.90,78.654889783781100001,745217,5109,58614961.00,246563,33.09,1.69,0.31
9-March-2023,79.22,79.45,78.55,78.70,79.061287084541601606,304844,2008,24101359.00,121457,39.84,0.90,-0.52
8-March-2023,78.95,79.29,78.48,79.18,79.024068407990462055,657584,4764,51964963.00,333328,50.69,0.81,0.23
6-March-2023,78.07,79.76,78.00,79.26,79.156032404104027753,975432,6781,77211327.00,478147,49.02,1.76,1.19
3-March-2023,78.34,78.50,77.72,78.23,78.173993313049168938,1289676,6258,100819123.00,660965,51.25,0.78,-0.11
2-March-2023,77.00,78.15,76.80,77.91,77.692203523329665717,578941,5162,44979202.00,237542,41.03,1.35,0.91
1-March-2023,76.00,77.19,75.88,76.97,76.728366209202640481,717142,5351,55025134.00,265988,37.09,1.31,0.97
28-February-2023,76.75,77.00,75.80,76.05,76.284556958495699394,1004161,7017,76601977.00,563937,56.16,1.20,-0.70
27-February-2023,77.35,77.35,76.20,76.85,76.673222616609493508,1410627,8598,108157318.00,930736,65.98,1.15,-0.50
24-February-2023,77.10,77.65,77.10,77.35,77.309132801142059380,571599,4177,44189823.00,223086,39.03,0.55,0.25
23-February-2023,77.90,77.90,76.75,77.25,77.379249798182713609,1181762,5661,91443857.00,709360,60.03,1.15,-0.65
22-February-2023,78.65,78.80,77.10,77.30,77.669592375330171807,886281,8215,68837084.00,359315,40.54,1.70,-1.35
21-February-2023,80.05,80.15,79.00,79.20,79.643483627407100581,719434,4567,57298230.00,306071,42.54,1.15,-0.85
20-February-2023,80.55,80.95,79.30,79.55,80.037915291554613356,648129,5412,51874894.00,263869,40.71,1.65,-1.00
17-February-2023,79.80,81.05,79.60,80.55,80.451336333173767352,1305625,5457,105039276.00,747452,57.25,1.45,0.75
16-February-2023,79.70,80.05,79.20,79.80,79.718951501914548122,613983,4751,48946081.00,282824,46.06,0.85,0.10
15-February-2023,78.30,79.70,78.30,79.50,79.045013009540329575,415080,3559,32810004.00,195508,47.10,1.40,1.20
14-February-2023,79.30,79.80,78.70,79.15,79.108955696057439697,218107,1771,17254217.00,84116,38.57,1.10,-0.15
13-February-2023,79.80,80.25,79.25,79.45,79.670343604857702985,608024,4867,48441481.00,366906,60.34,1.00,-0.35
10-February-2023,79.50,80.45,79.50,79.80,79.985626810398562681,790917,4734,63261992.00,326011,41.22,0.95,0.30
9-February-2023,78.75,80.70,78.75,79.65,79.863345046426219516,958187,5335,76524019.00,339177,35.40,1.95,0.90
8-February-2023,78.85,79.40,78.30,79.25,78.811553347030436236,376722,2482,29690046.00,139800,37.11,1.10,0.40
7-February-2023,79.25,79.75,78.70,79.00,79.068178233168048611,729045,5088,57644260.00,287649,39.46,1.05,-0.25
6-February-2023,78.30,79.55,78.15,79.25,78.890958173932712449,1016830,6675,80218693.00,419920,41.30,1.40,0.95
3-February-2023,78.90,78.95,76.90,78.45,77.779377509722364099,695047,3771,54060323.00,229145,32.97,2.05,-0.45
2-February-2023,79.90,80.00,78.15,78.50,78.932004321972143677,676543,3915,53400895.00,212847,31.46,1.85,-1.40
1-February-2023,81.50,81.80,78.30,79.80,80.640843082049413074,1997528,12488,161082342.00,917064,45.91,3.50,-1.70
31-January-2023,82.30,83.30,81.20,81.80,82.447195222043846110,1162338,4911,95831508.00,326593,28.10,2.10,-0.50
30-January-2023,80.95,82.50,80.45,81.70,81.704826433067231148,1421008,4493,116103212.00,863718,60.78,2.05,0.75
27-January-2023,82.25,83.00,80.00,80.95,80.990994345038098383,1404784,11190,113774853.00,706652,50.30,3.00,-1.30
25-January-2023,82.80,83.40,82.30,82.50,82.823915845984494846,679516,2794,56280176.00,326492,48.05,1.10,-0.30
24-January-2023,83.65,83.80,82.70,83.10,83.116086742258767729,464687,3025,38622965.00,204083,43.92,1.10,-0.55
23-January-2023,82.80,83.60,82.60,83.40,83.151010780892885329,779249,6348,64795342.00,463381,59.46,1.00,0.60
20-January-2023,83.00,83.60,82.70,82.90,83.192197568626166883,1038343,6492,86382036.00,556576,53.60,0.90,-0.10
19-January-2023,82.05,83.45,82.00,83.25,82.837992997037208049,1429395,7216,118408213.00,965062,67.52,1.45,1.20
18-January-2023,81.15,82.90,81.10,82.15,82.130480350021745594,1032393,5378,84790933.00,508111,49.22,1.80,1.00
17-January-2023,82.20,82.60,81.00,81.60,81.705528157475185917,497399,2963,40640248.00,156690,31.50,1.60,-0.60
16-January-2023,82.40,82.65,81.70,82.20,82.200650686748669049,1017694,6558,83655109.00,545849,53.64,0.95,-0.20
13-January-2023,81.60,82.40,81.10,82.30,82.070739963907641666,1133758,6447,93048358.00,522009,46.04,1.30,0.70
12-January-2023,84.00,84.00,81.20,81.60,81.806480878648059557,1413080,5855,115599102.00,590863,41.81,2.80,-2.40
11-January-2023,80.70,84.10,80.60,83.45,82.909674316775408029,5953423,17852,493596362.00,1896161,31.85,3.50,2.75
10-January-2023,80.50,80.80,79.70,80.60,80.282435992856212796,1244158,7316,99884035.00,681399,54.77,1.10,0.10
9-January-2023,81.00,81.00,79.70,80.10,80.325763691491377676,2110800,5914,169551622.00,513882,24.35,1.30,-0.90
6-January-2023,79.10,80.85,78.95,80.00,79.948085886854504632,2371725,11912,189614874.00,1276439,53.82,1.90,0.90
5-January-2023,78.90,79.30,78.30,79.10,78.855098142407588570,1575211,7987,124213418.00,917196,58.23,1.00,0.20
4-January-2023,79.00,79.50,77.35,78.10,78.414342806089352374,1601681,8655,125594763.00,629404,39.30,2.15,-0.90
3-January-2023,77.80,78.90,77.60,78.55,78.494595235497057860,953048,4470,74809117.00,404836,42.48,1.30,0.75
2-January-2023,77.00,78.55,76.45,78.00,77.858899914021613147,1737646,9225,135291206.00,984501,56.66,2.10,1.00
30-December-2022,75.50,77.50,75.15,76.50,76.507226243875333217,1767239,8410,135206554.00,779789,44.12,2.35,1.00
29-December-2022,74.60,75.15,74.10,74.85,74.695735940399712948,1157981,5952,86496243.00,636337,54.95,1.05,0.25
28-December-2022,75.00,75.15,74.45,74.85,74.810408435594861194,573285,4776,42887685.00,284453,49.62,0.70,-0.15
