Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,3365.00,3392.95,3340.05,3369.90,3359.562243632547934751,20966,5288,70436582.00,11917,56.84,52.90,4.90
22-March-2023,3352.05,3414.80,3352.05,3362.30,3372.173161033797216699,5030,1157,16962031.00,2795,55.57,62.75,10.25
21-March-2023,3360.25,3376.90,3327.20,3351.45,3352.415515177891415515,9191,1316,30812051.00,3475,37.81,49.70,-8.80
20-March-2023,3303.95,3375.80,3297.95,3360.00,3324.292240141855948661,11843,1928,39369593.00,5283,44.61,77.85,56.05
17-March-2023,3419.95,3419.95,3300.00,3310.85,3328.439934097521646159,28527,8250,94950406.00,15687,54.99,119.95,-109.10
16-March-2023,3328.05,3454.05,3292.65,3384.55,3373.543970634176819743,38412,7758,129584571.00,19914,51.84,161.40,56.50
15-March-2023,3363.95,3366.75,3330.00,3337.95,3341.513663154134666904,5599,1207,18709135.00,3025,54.03,36.75,-26.00
14-March-2023,3338.05,3369.75,3311.15,3350.85,3344.963818494430739328,26754,6819,89491162.00,16775,62.70,58.60,12.80
13-March-2023,3386.00,3415.00,3348.00,3351.75,3369.962504535741644155,24803,7688,83585180.00,14708,59.30,67.00,-34.25
10-March-2023,3385.00,3416.35,3378.70,3392.20,3390.954223020902298307,10573,1795,35852559.00,5693,53.84,37.65,7.20
9-March-2023,3390.05,3412.00,3384.35,3396.90,3399.138456410988906346,21003,4594,71392105.00,12749,60.70,27.65,6.85
8-March-2023,3425.00,3453.00,3381.00,3390.05,3403.805423857386686895,31638,9750,107689596.00,20220,63.91,72.00,-34.95
6-March-2023,3493.95,3493.95,3425.00,3443.60,3451.110364187042919406,13537,1911,46717681.00,8886,65.64,68.95,-50.35
3-March-2023,3445.05,3473.55,3422.05,3462.75,3444.375675951433527191,9801,1571,33758326.00,4704,48.00,51.50,17.70
2-March-2023,3458.95,3459.00,3423.15,3441.60,3434.635083650819943680,6037,1355,20734892.00,3396,56.25,35.85,-17.35
1-March-2023,3422.00,3474.45,3422.00,3438.90,3453.359493225409114904,5683,1118,19625442.00,3040,53.49,52.45,16.90
28-February-2023,3499.95,3508.65,3375.00,3411.75,3445.318034362609635948,8323,2186,28675382.00,4136,49.69,133.65,-88.20
27-February-2023,3494.90,3498.10,3445.00,3490.30,3470.763074484944532488,3786,1158,13140309.00,1983,52.38,53.10,-4.60
24-February-2023,3479.15,3515.00,3467.05,3497.50,3490.168896627565982404,10912,3042,38084723.00,4924,45.12,47.95,18.35
23-February-2023,3524.95,3524.95,3436.15,3479.15,3475.946446961894953656,5826,1510,20250864.00,2416,41.47,88.80,-45.80
22-February-2023,3515.00,3519.40,3487.25,3499.05,3501.962051868802440884,15732,4383,55092867.00,8775,55.78,32.15,-15.95
21-February-2023,3572.70,3572.70,3519.00,3527.10,3532.114906074652354232,4099,1026,14478139.00,1918,46.79,53.70,-45.60
20-February-2023,3535.05,3572.00,3535.05,3552.70,3557.369555368584557633,15451,3832,54964917.00,10320,66.79,36.95,17.65
17-February-2023,3539.90,3567.45,3514.65,3545.20,3544.190768052097299367,10442,3263,37008440.00,5374,51.47,52.80,5.30
16-February-2023,3540.60,3566.35,3536.45,3541.75,3550.219015280135823429,5301,1247,18819711.00,2132,40.22,29.90,1.15
15-February-2023,3470.10,3566.65,3465.00,3540.05,3511.832182143770785367,11727,1711,41183256.00,6259,53.37,101.65,69.95
14-February-2023,3500.00,3512.55,3471.50,3479.90,3487.789123997977901350,13847,3948,48295416.00,6210,44.85,41.05,-20.10
13-February-2023,3507.95,3510.85,3483.00,3498.80,3495.554305593205023945,22134,5577,77370599.00,13158,59.45,27.85,-9.15
10-February-2023,3514.95,3543.90,3494.30,3499.25,3513.852046617396247868,7036,1493,24723463.00,2768,39.34,49.60,-15.70
9-February-2023,3470.00,3543.75,3463.25,3480.90,3507.487505978000956480,33456,6462,117346502.00,10742,32.11,80.50,10.90
8-February-2023,3454.70,3509.00,3450.00,3459.85,3472.818554847786158114,25589,5790,88865954.00,12572,49.13,59.00,5.15
7-February-2023,3455.00,3475.15,3439.00,3442.30,3451.793602370783578837,22946,6080,79204856.00,11769,51.29,36.15,-12.70
6-February-2023,3475.00,3489.95,3433.00,3442.40,3447.129967695890616783,26622,8284,91769494.00,17072,64.13,56.95,-32.60
3-February-2023,3519.95,3523.00,3466.65,3470.45,3487.861680115870060004,9666,1830,33713671.00,4902,50.71,56.35,-49.50
2-February-2023,3550.00,3578.05,3485.00,3498.90,3519.332082410777948737,26647,7289,93779642.00,11940,44.81,93.05,-51.10
1-February-2023,3567.95,3578.00,3468.05,3554.05,3540.463193857424626655,28392,7260,100520831.00,12716,44.79,109.95,-13.90
31-January-2023,3564.95,3582.40,3493.80,3504.30,3530.651328580686973428,12344,2509,43582360.00,5051,40.92,88.60,-60.65
30-January-2023,3560.05,3575.00,3487.00,3544.20,3527.345085803432137285,28845,7890,101746269.00,13220,45.83,88.00,-15.85
27-January-2023,3535.00,3583.90,3516.90,3563.50,3548.835015024513680215,31615,6904,112196419.00,19567,61.89,67.00,28.50
25-January-2023,3541.05,3554.50,3510.55,3535.85,3540.906395348837209302,27520,6135,97445744.00,12709,46.18,43.95,-5.20
24-January-2023,3440.00,3577.00,3440.00,3541.05,3526.337712678375411635,58304,10559,205599594.00,22936,39.34,137.00,101.05
23-January-2023,3525.00,3528.70,3426.00,3434.20,3452.294176865660909208,69533,19118,240048371.00,40912,58.84,102.70,-90.80
20-January-2023,3566.10,3581.35,3510.05,3514.55,3532.051643540847369592,40431,12673,142804380.00,25559,63.22,71.30,-51.55
19-January-2023,3642.05,3648.70,3560.00,3565.60,3588.046534426297895417,47943,15644,172021715.00,29120,60.74,88.70,-76.45
